threshold_label,threshold_slug,bin_lo,bin_hi,bin_centre,mass
<= 50,le50,20.0,25.0,22.5,1113.6032975012533
<= 50,le50,25.0,30.0,27.5,1073.0264957908266
<= 50,le50,30.0,35.0,32.5,1084.2585764025362
<= 50,le50,35.0,40.0,37.5,1097.6277839383902
<= 50,le50,40.0,45.0,42.5,1273.6036459801794
<= 50,le50,45.0,50.0,47.5,1396.2885453190256
<= 50,le50,50.0,55.0,52.5,1048.4965940569987
<= 50,le50,55.0,60.0,57.5,929.631311313372
<= 50,le50,60.0,65.0,62.5,918.1374359442657
<= 50,le50,65.0,70.0,67.5,1004.1811132825324
<= 50,le50,70.0,75.0,72.5,1188.4515625911204
<= 50,le50,75.0,80.0,77.5,1886.0086606813456
<= 50,le50,80.0,85.0,82.5,855.4192719451099
<= 50,le50,85.0,90.0,87.5,738.2118606819702
<= 50,le50,90.0,95.0,92.5,714.089122067913
<= 50,le50,95.0,100.0,97.5,811.4352339532265
<= 50,le50,100.0,105.0,102.5,672.1279508543005
<= 50,le50,105.0,110.0,107.5,658.812489637238
<= 50,le50,110.0,115.0,112.5,614.0459286784738
<= 50,le50,115.0,120.0,117.5,671.1037919498915
<= 50,le50,120.0,125.0,122.5,2080.1506380792343
<= 50,le50,125.0,130.0,127.5,952.5719401565112
<= 50,le50,130.0,135.0,132.5,821.0362845425914
<= 50,le50,135.0,140.0,137.5,942.6603206244446
<= 50,le50,140.0,145.0,142.5,722.7874045281823
<= 50,le50,145.0,150.0,147.5,875.5489691621954
<= 50,le50,150.0,155.0,152.5,663.4399124384016
<= 50,le50,155.0,160.0,157.5,686.8892592381176
<= 50,le50,160.0,165.0,162.5,884.9733235718197
<= 50,le50,165.0,170.0,167.5,711.7581832559799
<= 50,le50,170.0,175.0,172.5,526.0216511090721
<= 50,le50,175.0,180.0,177.5,568.8582397831929
<= 50,le50,180.0,185.0,182.5,607.7738967080481
<= 50,le50,185.0,190.0,187.5,556.4101592540391
<= 50,le50,190.0,195.0,192.5,610.3025747776576
<= 50,le50,195.0,200.0,197.5,923.8160129977964
<= 50,le50,200.0,205.0,202.5,829.4962221030412
<= 50,le50,205.0,210.0,207.5,824.9172756378854
<= 50,le50,210.0,215.0,212.5,1488.1477917093353
<= 50,le50,215.0,220.0,217.5,1255.7121760400228
<= 50,le50,220.0,225.0,222.5,701.6113776898703
<= 50,le50,225.0,230.0,227.5,586.7483404865688
<= 50,le50,230.0,235.0,232.5,536.0339582861579
<= 50,le50,235.0,240.0,237.5,721.7384758035096
<= 50,le50,240.0,245.0,242.5,563.9667469053155
<= 50,le50,245.0,250.0,247.5,503.9502638945216
<= 50,le50,250.0,255.0,252.5,575.6714774858126
<= 50,le50,255.0,260.0,257.5,456.99734806749893
<= 50,le50,260.0,265.0,262.5,278.3613666136691
<= 50,le50,265.0,270.0,267.5,289.7868464727709
<= 50,le50,270.0,275.0,272.5,341.28350654876914
<= 50,le50,275.0,280.0,277.5,328.3965650022711
<= 50,le50,280.0,285.0,282.5,343.2277065277697
<= 50,le50,285.0,290.0,287.5,278.4695947517797
<= 50,le50,290.0,295.0,292.5,520.1360702367507
<= 50,le50,295.0,300.0,297.5,630.3306639004363
<= 50,le50,300.0,305.0,302.5,665.708285256772
<= 50,le50,305.0,310.0,307.5,793.396947544081
<= 50,le50,310.0,315.0,312.5,686.1795094205426
<= 50,le50,315.0,320.0,317.5,618.1570437763887
<= 50,le50,320.0,325.0,322.5,628.5886006934902
<= 50,le50,325.0,330.0,327.5,518.6330933432432
<= 50,le50,330.0,335.0,332.5,488.8648346632161
<= 50,le50,335.0,340.0,337.5,524.5604770909254
<= 50,le50,340.0,345.0,342.5,498.5405919573441
<= 50,le50,345.0,350.0,347.5,502.61895267909233
<= 75,le75,-50.0,-45.0,-47.5,286.284459989639
<= 75,le75,-45.0,-40.0,-42.5,346.791929146114
<= 75,le75,-40.0,-35.0,-37.5,332.5927327072329
<= 75,le75,-35.0,-30.0,-32.5,286.7755778478104
<= 75,le75,-30.0,-25.0,-27.5,535.3051868984934
<= 75,le75,-25.0,-20.0,-22.5,616.5794443025918
<= 75,le75,-20.0,-15.0,-17.5,619.8231963097467
<= 75,le75,-15.0,-10.0,-12.5,698.591557701954
<= 75,le75,-10.0,-5.0,-7.5,838.6617872346108
<= 75,le75,-5.0,0.0,-2.5,844.1950970653925
<= 75,le75,0.0,5.0,2.5,1241.0251300641394
<= 75,le75,5.0,10.0,7.5,1428.882106485713
<= 75,le75,10.0,15.0,12.5,1426.6897139962814
<= 75,le75,15.0,20.0,17.5,1381.9864248851782
<= 75,le75,20.0,25.0,22.5,1333.9243229399106
<= 75,le75,25.0,30.0,27.5,1292.5591569797284
<= 75,le75,30.0,35.0,32.5,1236.2320703871142
<= 75,le75,35.0,40.0,37.5,1227.6374534761735
<= 75,le75,40.0,45.0,42.5,1405.2497143548403
<= 75,le75,45.0,50.0,47.5,1528.135655156385
<= 75,le75,50.0,55.0,52.5,1168.9424306762103
<= 75,le75,55.0,60.0,57.5,1046.4008113721197
<= 75,le75,60.0,65.0,62.5,1032.8823688870782
<= 75,le75,65.0,70.0,67.5,1119.180569513364
