province,urban_context_city,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Etruria / Regio VII,Luna,218,111.26605504587155,100.24488075573703,123.47968343814019,,,100.0,,,,,0.0,0.0,0.0,0.0
Achaia,,209,57.760765550239235,49.59458981449241,69.47644804527074,,,36.0,26.0,44.852181151323975,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,Marruvium,207,86.6328502415459,81.75320778389138,91.77030305266511,,,100.0,,,,,0.0,0.0,0.0,0.0
Apulia et Calabria / Regio II,Luceria,205,77.99512195121952,73.26129236107329,83.30358201831557,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Salernum,204,89.76960784313725,83.94134122608918,95.22543514106174,,,100.0,,,,,0.0,0.0,0.0,0.0
Moesia inferior,Tomis,203,92.60098522167488,83.22922682281686,102.67730214045237,,,100.0,,,,,0.0,0.0,0.0,0.0
Raetia,Augusta Vindelicum,202,127.52475247524752,113.30559390633196,142.60469063764725,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Formiae,202,86.88118811881188,79.97029702970298,94.28893136424082,,,100.0,,,,,0.0,0.0,0.0,0.0
Belgica | Germania superior,,201,197.044776119403,182.564753754816,209.5873326161456,,,200.0,,,,,0.0,0.0,0.0,0.0
Moesia superior,Scupi,201,111.72139303482587,101.08955223880596,123.78199145593045,,,100.0,,,,,0.0,0.0,0.0,0.0
Venetia et Histria / Regio X,Pola,200,98.675,90.80523087260666,107.17260294996237,,,100.0,,,,,0.0,0.0,0.0,0.0
Galatia,,199,24.804020100502512,17.134717741031995,34.29464770483566,,,3.0,2.0,3.521689260382118,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,Saepinum,198,91.05050505050505,82.85324189825526,99.26206814198267,,,100.0,,,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,Fulginiae,195,66.11794871794872,60.72711236373339,73.24149198974476,,,50.0,,,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,,195,88.22564102564102,78.71862404135021,97.5011624521505,,,100.0,,,,,0.0,0.0,0.0,0.0
Aemilia / Regio VIII,Mutina,194,74.88659793814433,69.2122830545863,80.42787546040292,,,67.5,60.0,100.0,,,0.0,0.0,0.0,0.0
Lugudunensis,Augustodunum,190,121.47368421052632,111.85706022262806,130.94681858304858,,,100.0,,,,,0.0,0.0,0.0,0.0
Aemilia / Regio VIII,Ariminum,181,84.11602209944752,76.12193574313241,92.79325936459563,,,100.0,,,,,0.0,0.0,0.0,0.0
Dacia,Micia,181,85.07734806629834,78.06999956927577,92.76391104377305,,,94.0,,,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,Telesia,180,86.35555555555555,79.78222088604292,94.90285699490154,,,100.0,,,,,0.0,0.0,0.0,0.0
Belgica | Germania superior,Dibio,177,166.0677966101695,153.30925300089353,179.08706888797684,,,150.0,,,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,Mevania,176,69.4034090909091,64.7706194603009,74.62948758829114,,,50.0,,,,,0.0,0.0,0.0,0.0
Gallia Narbonensis,Narbo Martius,175,72.12571428571428,64.696799305966,81.96731153828637,,,50.0,,,,,0.0,0.0,0.0,0.0
Achaia,Patrae,174,179.3505747126437,166.77521045458423,191.49599892237842,,,200.0,,,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,Nursia,174,90.86781609195403,85.14565942517194,97.48850574712642,,,100.0,,,,,0.0,0.0,0.0,0.0
Dacia,Potaissa,173,101.23699421965318,92.59896697893168,109.28228441229942,,,109.0,,,,,0.0,0.0,0.0,0.0
Baetica,Astigi,172,75.6046511627907,69.85025931912985,81.90520980037351,,,60.0,,,,,0.0,0.0,0.0,0.0
Pannonia superior,Emona,166,120.40361445783132,108.14639364638724,133.4788272275473,,,100.0,,,,,0.0,0.0,0.0,0.0
Lugudunensis,Lugdunum,163,57.49079754601227,52.00565520832818,63.77904176411394,,,50.0,,,,,0.0,0.0,0.0,0.0
Apulia et Calabria / Regio II,Tarentum,163,56.15337423312884,51.77914110429448,60.9970908086902,,,50.0,,,,,0.0,0.0,0.0,0.0
Picenum / Regio V,,162,104.30246913580247,93.7943696909411,118.22388108782484,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Antium,161,96.28571428571429,87.34716049812104,106.97698631491977,,,100.0,,,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,Spoletium,160,84.4125,76.3375,93.92946432364634,,,90.5,50.0,100.0,,,0.0,0.0,0.0,0.0
Alpes Maritimae,,160,141.7875,123.4234795628506,161.2118795209869,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Nomentum,159,93.40880503144655,84.97944713660512,102.1007425974741,,,100.0,,,,,0.0,0.0,0.0,0.0
