width_bucket,bin_lo,bin_hi,bin_centre,mass,n_inscriptions
50 < width <= 100,-20.0,-15.0,-17.5,288.26213267063645,66641
50 < width <= 100,-15.0,-10.0,-12.5,295.1062093525943,66641
50 < width <= 100,-10.0,-5.0,-7.5,299.69692517486783,66641
50 < width <= 100,-5.0,0.0,-2.5,300.2911063107849,66641
50 < width <= 100,0.0,5.0,2.5,897.4927873632773,66641
50 < width <= 100,5.0,10.0,7.5,1058.0830176896275,66641
50 < width <= 100,10.0,15.0,12.5,1063.6558181319933,66641
50 < width <= 100,15.0,20.0,17.5,1072.618083602188,66641
50 < width <= 100,20.0,25.0,22.5,1064.9347967637277,66641
50 < width <= 100,25.0,30.0,27.5,1051.665297521514,66641
50 < width <= 100,30.0,35.0,32.5,957.6199391247102,66641
50 < width <= 100,35.0,40.0,37.5,929.7038823192579,66641
50 < width <= 100,40.0,45.0,42.5,930.8074357588753,66641
50 < width <= 100,45.0,50.0,47.5,930.8903391009558,66641
50 < width <= 100,50.0,55.0,52.5,982.6170665029838,66641
50 < width <= 100,55.0,60.0,57.5,992.8045514421411,66641
50 < width <= 100,60.0,65.0,62.5,991.5256577899319,66641
50 < width <= 100,65.0,70.0,67.5,989.9567551092077,66641
50 < width <= 100,70.0,75.0,72.5,1126.6455033429054,66641
50 < width <= 100,75.0,80.0,77.5,1162.4150011376796,66641
50 < width <= 100,80.0,85.0,82.5,962.1139613739338,66641
50 < width <= 100,85.0,90.0,87.5,962.7593421676004,66641
50 < width <= 100,90.0,95.0,92.5,970.6193598817191,66641
50 < width <= 100,95.0,100.0,97.5,973.2427607675592,66641
50 < width <= 100,100.0,105.0,102.5,1051.2635682006903,66641
50 < width <= 100,105.0,110.0,107.5,1075.2288799492446,66641
50 < width <= 100,110.0,115.0,112.5,1079.6960692766474,66641
50 < width <= 100,115.0,120.0,117.5,1085.2107438367639,66641
50 < width <= 100,120.0,125.0,122.5,1091.495575841656,66641
50 < width <= 100,125.0,130.0,127.5,1092.0078637144866,66641
50 < width <= 100,130.0,135.0,132.5,957.6985245353998,66641
50 < width <= 100,135.0,140.0,137.5,929.4421967742146,66641
50 < width <= 100,140.0,145.0,142.5,933.8458627575369,66641
50 < width <= 100,145.0,150.0,147.5,933.1929692900785,66641
50 < width <= 100,150.0,155.0,152.5,964.19806754143,66641
50 < width <= 100,155.0,160.0,157.5,971.6297037702172,66641
50 < width <= 100,160.0,165.0,162.5,977.9402186787268,66641
50 < width <= 100,165.0,170.0,167.5,978.8720644065295,66641
50 < width <= 100,170.0,175.0,172.5,1149.330846138758,66641
50 < width <= 100,175.0,180.0,177.5,1195.578402630845,66641
