nb,na,n,width,category,env_overlap_frac,share_corpus,cum_n,cum_share_corpus
-49,-6,1,44,other,1.0,9.120259744997538e-06,108981,0.9939350272695766
-49,-27,1,23,other,1.0,9.120259744997538e-06,108982,0.9939441475293216
-49,-31,1,19,other,1.0,9.120259744997538e-06,108983,0.9939532677890667
-49,-41,1,9,other,1.0,9.120259744997538e-06,108984,0.9939623880488117
-49,-42,1,8,other,1.0,9.120259744997538e-06,108985,0.9939715083085566
-49,-44,1,6,other,1.0,9.120259744997538e-06,108986,0.9939806285683016
-50,300,1,351,bc_ad_boundary,1.0,9.120259744997538e-06,108987,0.9939897488280466
68,89,1,22,other,1.0,9.120259744997538e-06,108988,0.9939988690877917
68,77,1,10,other,1.0,9.120259744997538e-06,108989,0.9940079893475366
67,193,1,127,other,1.0,9.120259744997538e-06,108990,0.9940171096072816
241,311,1,71,other,1.0,9.120259744997538e-06,108991,0.9940262298670266
241,277,1,37,other,1.0,9.120259744997538e-06,108992,0.9940353501267716
241,270,1,30,other,1.0,9.120259744997538e-06,108993,0.9940444703865166
241,243,1,3,other,1.0,9.120259744997538e-06,108994,0.9940535906462616
240,250,1,11,other,1.0,9.120259744997538e-06,108995,0.9940627109060066
240,246,1,7,other,1.0,9.120259744997538e-06,108996,0.9940718311657516
239,300,1,62,other,1.0,9.120259744997538e-06,108997,0.9940809514254966
239,254,1,16,other,1.0,9.120259744997538e-06,108998,0.9940900716852415
239,250,1,12,other,1.0,9.120259744997538e-06,108999,0.9940991919449866
65,96,1,32,other,1.0,9.120259744997538e-06,109000,0.9941083122047316
65,95,1,31,other,1.0,9.120259744997538e-06,109001,0.9941174324644766
65,75,1,11,other,1.0,9.120259744997538e-06,109002,0.9941265527242216
65,73,1,9,other,1.0,9.120259744997538e-06,109003,0.9941356729839665
65,66,1,2,other,1.0,9.120259744997538e-06,109004,0.9941447932437116
64,117,1,54,other,1.0,9.120259744997538e-06,109005,0.9941539135034566
64,79,1,16,other,1.0,9.120259744997538e-06,109006,0.9941630337632016
63,64,1,2,other,1.0,9.120259744997538e-06,109007,0.9941721540229466
62,78,1,17,other,1.0,9.120259744997538e-06,109008,0.9941812742826915
62,77,1,16,other,1.0,9.120259744997538e-06,109009,0.9941903945424365
62,74,1,13,other,1.0,9.120259744997538e-06,109010,0.9941995148021816
62,68,1,7,other,1.0,9.120259744997538e-06,109011,0.9942086350619266
62,65,1,4,other,1.0,9.120259744997538e-06,109012,0.9942177553216716
-50,75,1,126,bc_ad_boundary,1.0,9.120259744997538e-06,109013,0.9942268755814165
-50,54,1,105,bc_ad_boundary,1.0,9.120259744997538e-06,109014,0.9942359958411615
-50,10,1,61,bc_ad_boundary,1.0,9.120259744997538e-06,109015,0.9942451161009066
-50,9,1,60,bc_ad_boundary,1.0,9.120259744997538e-06,109016,0.9942542363606516
242,500,1,259,other,0.4208,9.120259744997538e-06,109017,0.9942633566203966
242,363,1,122,other,0.8934,9.120259744997538e-06,109018,0.9942724768801415
242,268,1,27,other,1.0,9.120259744997538e-06,109019,0.9942815971398865
242,246,1,5,other,1.0,9.120259744997538e-06,109020,0.9942907173996316
241,400,1,160,other,0.6875,9.120259744997538e-06,109021,0.9942998376593766
241,338,1,98,other,1.0,9.120259744997538e-06,109022,0.9943089579191215
16,30,1,15,other,1.0,9.120259744997538e-06,109023,0.9943180781788665
16,20,1,5,other,1.0,9.120259744997538e-06,109024,0.9943271984386115
16,18,1,3,other,1.0,9.120259744997538e-06,109025,0.9943363186983565
16,16,1,1,year_precise,1.0,9.120259744997538e-06,109026,0.9943454389581016
15,150,1,136,other,1.0,9.120259744997538e-06,109027,0.9943545592178465
248,249,1,2,other,1.0,9.120259744997538e-06,109028,0.9943636794775915
247,318,1,72,other,1.0,9.120259744997538e-06,109029,0.9943727997373365
247,257,1,11,other,1.0,9.120259744997538e-06,109030,0.9943819199970815
247,255,1,9,other,1.0,9.120259744997538e-06,109031,0.9943910402568266
246,247,1,2,other,1.0,9.120259744997538e-06,109032,0.9944001605165715
245,253,1,9,other,1.0,9.120259744997538e-06,109033,0.9944092807763165
244,270,1,27,other,1.0,9.120259744997538e-06,109034,0.9944184010360615
243,344,1,102,other,1.0,9.120259744997538e-06,109035,0.9944275212958065
-50,130,1,181,bc_ad_boundary,1.0,9.120259744997538e-06,109036,0.9944366415555514
63,100,1,38,other,1.0,9.120259744997538e-06,109037,0.9944457618152965
63,67,1,5,other,1.0,9.120259744997538e-06,109038,0.9944548820750415
61,69,1,9,other,1.0,9.120259744997538e-06,109039,0.9944640023347865
61,65,1,5,other,1.0,9.120259744997538e-06,109040,0.9944731225945315
60,80,1,21,other,1.0,9.120259744997538e-06,109041,0.9944822428542764
250,255,1,6,other,1.0,9.120259744997538e-06,109042,0.9944913631140215
250,252,1,3,other,1.0,9.120259744997538e-06,109043,0.9945004833737665
-50,-28,1,23,other,1.0,9.120259744997538e-06,109044,0.9945096036335115
-50,-29,1,22,other,1.0,9.120259744997538e-06,109045,0.9945187238932565
-50,-35,1,16,other,1.0,9.120259744997538e-06,109046,0.9945278441530014
-50,-41,1,10,other,1.0,9.120259744997538e-06,109047,0.9945369644127465
-50,-42,1,9,other,1.0,9.120259744997538e-06,109048,0.9945460846724915
249,307,1,59,other,1.0,9.120259744997538e-06,109049,0.9945552049322365
249,253,1,5,other,1.0,9.120259744997538e-06,109050,0.9945643251919815
248,251,1,4,other,1.0,9.120259744997538e-06,109051,0.9945734454517264
61,160,1,100,other,1.0,9.120259744997538e-06,109052,0.9945825657114714
16,45,1,30,other,1.0,9.120259744997538e-06,109053,0.9945916859712165
16,43,1,28,other,1.0,9.120259744997538e-06,109054,0.9946008062309615
59,77,1,19,other,1.0,9.120259744997538e-06,109055,0.9946099264907065
59,70,1,12,other,1.0,9.120259744997538e-06,109056,0.9946190467504514
251,310,1,60,other,1.0,9.120259744997538e-06,109057,0.9946281670101964
251,292,1,42,other,1.0,9.120259744997538e-06,109058,0.9946372872699415
251,283,1,33,other,1.0,9.120259744997538e-06,109059,0.9946464075296865
251,255,1,5,other,1.0,9.120259744997538e-06,109060,0.9946555277894314
