LIST-ID,EDCS-ID,EDH-ID,urban_context_city,pleiades_id,province_edcs,province_edh,province,most_common_province,most_common_count
520998,EDCS-05400151,HD016944,Regium Lepidum,,Transpadana / Regio XI,Transpadana (Regio XI),Transpadana / Regio XI,Aemilia / Regio VIII,49.0
446578,EDCS-21300235,HD016234,Roma,423025,Aegyptus,Roma,Aegyptus,Roma,65399.0
446663,EDCS-09300221,HD007300,Roma,423025,Aemilia / Regio VIII,Roma,Aemilia / Regio VIII,Roma,65399.0
446734,EDCS-09300905,HD006780,Roma,423025,Aemilia / Regio VIII,Roma,Aemilia / Regio VIII,Roma,65399.0
459947,EDCS-09301077,HD006831,Roma,423025,Britannia,Roma,Britannia,Roma,65399.0
467427,EDCS-67400460,HD049289,Roma,423025,Dacia,Roma,Dacia,Roma,65399.0
475389,EDCS-05200211,HD016689,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
475401,EDCS-08400233,HD002764,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
475402,EDCS-08400234,HD002767,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
475404,EDCS-08400236,HD002773,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
475405,EDCS-08400237,HD002782,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
475545,EDCS-09701457,HD013934,Roma,423025,Etruria / Regio VII,Etruria (Regio VII),Etruria / Regio VII,Roma,65399.0
475546,EDCS-09701458,HD013937,Roma,423025,Etruria / Regio VII,Etruria (Regio VII),Etruria / Regio VII,Roma,65399.0
475549,EDCS-09701464,HD013955,Roma,423025,Etruria / Regio VII,Etruria (Regio VII),Etruria / Regio VII,Roma,65399.0
475557,EDCS-22700893,HD007444,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
475613,EDCS-21100645,HD026940,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
475694,EDCS-07400279,HD003629,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
476250,EDCS-22300170,HD032961,Roma,423025,Etruria / Regio VII,Roma,Etruria / Regio VII,Roma,65399.0
489845,EDCS-05200652,HD025128,Roma,423025,Italia,Roma,Italia,Roma,65399.0
490192,EDCS-09400960,HD010569,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
490197,EDCS-09400929,HD010479,Roma,423025,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Roma,65399.0
490261,EDCS-09400883,HD010332,Roma,423025,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Roma,65399.0
