cell_id,alpha_true,mean_alpha_median,median_alpha_median,std_alpha_median,n_reps,shape_name,tier_weights_name,n,bias
shape=flat_baseline_alpha=0.70_tier=pilot_proxy_N=10000,0.7,0.6910755476122579,0.6911212952732115,0.07810594011608314,100,flat_baseline,pilot_proxy,10000,-0.008924452387742088
shape=flat_baseline_alpha=0.70_tier=pilot_proxy_N=2000,0.7,0.6400502288327394,0.6509219341029528,0.15943231479151176,100,flat_baseline,pilot_proxy,2000,-0.059949771167260524
shape=flat_baseline_alpha=0.70_tier=pilot_proxy_N=50000,0.7,0.6941477267128588,0.6925312242623451,0.038690482208751854,100,flat_baseline,pilot_proxy,50000,-0.005852273287141108
shape=flat_baseline_alpha=0.70_tier=reign_heavy_N=10000,0.7,0.7004136556987937,0.6911505750207939,0.06430327773372871,100,flat_baseline,reign_heavy,10000,0.00041365569879370234
shape=flat_baseline_alpha=0.70_tier=reign_heavy_N=2000,0.7,0.7324017019938839,0.7194939443203952,0.09316413956692077,100,flat_baseline,reign_heavy,2000,0.032401701993883925
shape=flat_baseline_alpha=0.70_tier=reign_heavy_N=50000,0.7,0.7000771144330719,0.701733417303732,0.03457989657367149,100,flat_baseline,reign_heavy,50000,7.711443307190091e-05
shape=flat_baseline_alpha=0.70_tier=uniform_N=10000,0.7,0.701545610143401,0.708362307329025,0.07446642211053238,100,flat_baseline,uniform,10000,0.0015456101434010439
shape=flat_baseline_alpha=0.70_tier=uniform_N=2000,0.7,0.6802613015083604,0.6798641482231025,0.13024037911666558,100,flat_baseline,uniform,2000,-0.01973869849163956
shape=flat_baseline_alpha=0.70_tier=uniform_N=50000,0.7,0.6949789293764046,0.693161594438746,0.03575551246313679,100,flat_baseline,uniform,50000,-0.005021070623595358
shape=flat_baseline_alpha=0.95_tier=century_heavy_N=10000,0.95,0.9034907540070976,0.9117159487289062,0.05137749738721377,100,flat_baseline,century_heavy,10000,-0.046509245992902404
shape=flat_baseline_alpha=0.95_tier=century_heavy_N=2000,0.95,0.8139014845294195,0.8355445414195543,0.10137715233911127,100,flat_baseline,century_heavy,2000,-0.1360985154705805
shape=flat_baseline_alpha=0.95_tier=century_heavy_N=50000,0.95,0.9391891935665426,0.9393280556176313,0.02754710199586027,100,flat_baseline,century_heavy,50000,-0.010810806433457332
shape=flat_baseline_alpha=0.95_tier=half_century_heavy_N=10000,0.95,0.9172728849298256,0.9250399118416852,0.04360926044740468,100,flat_baseline,half_century_heavy,10000,-0.03272711507017434
shape=flat_baseline_alpha=0.95_tier=half_century_heavy_N=2000,0.95,0.8718717286046194,0.8759571067435281,0.047648833660780474,100,flat_baseline,half_century_heavy,2000,-0.07812827139538059
shape=flat_baseline_alpha=0.95_tier=half_century_heavy_N=50000,0.95,0.9483366142602153,0.9537193615931367,0.0256220208387659,100,flat_baseline,half_century_heavy,50000,-0.0016633857397846397
shape=flat_baseline_alpha=0.95_tier=pilot_proxy_N=10000,0.95,0.91303234495602,0.9176992635318849,0.042081001917926325,100,flat_baseline,pilot_proxy,10000,-0.03696765504397992
shape=flat_baseline_alpha=0.95_tier=pilot_proxy_N=2000,0.95,0.8198620961619767,0.8445795491047647,0.10087499576332264,100,flat_baseline,pilot_proxy,2000,-0.13013790383802326
shape=flat_baseline_alpha=0.95_tier=pilot_proxy_N=50000,0.95,0.9398289698510487,0.944046581680311,0.029665703404932256,100,flat_baseline,pilot_proxy,50000,-0.010171030148951266
shape=flat_baseline_alpha=0.95_tier=reign_heavy_N=10000,0.95,0.9131691530693281,0.917884813856261,0.04557698822607239,100,flat_baseline,reign_heavy,10000,-0.036830846930671846
shape=flat_baseline_alpha=0.95_tier=reign_heavy_N=2000,0.95,0.8814282194862376,0.8844434009713955,0.03878619827131098,100,flat_baseline,reign_heavy,2000,-0.06857178051376234
shape=flat_baseline_alpha=0.95_tier=reign_heavy_N=50000,0.95,0.9467631734370263,0.9475797130770494,0.024233246287194032,100,flat_baseline,reign_heavy,50000,-0.003236826562973638
shape=flat_baseline_alpha=0.95_tier=uniform_N=10000,0.95,0.9128310758752554,0.9221404056608957,0.04522109199020425,100,flat_baseline,uniform,10000,-0.037168924124744596
shape=flat_baseline_alpha=0.95_tier=uniform_N=2000,0.95,0.8304490558666277,0.8553271280708881,0.09102799768442703,100,flat_baseline,uniform,2000,-0.1195509441333723
shape=flat_baseline_alpha=0.95_tier=uniform_N=50000,0.95,0.9446604927136463,0.9507812168695342,0.027745237370764054,100,flat_baseline,uniform,50000,-0.005339507286353684
shape=regnal_cluster_alpha=0.05_tier=century_heavy_N=10000,0.05,0.2511470662016568,0.25104883490236796,0.014412773264516747,100,regnal_cluster,century_heavy,10000,0.2011470662016568
